E yu mbena ka'. E fúú efa rkwe aèmboè e m laèa naè. Vúè neè yá mbe dïì' ce yi gúèú yi mú noêñ.	He is not here, for he has risen, just like he said. Come, see the place where the Lord was lying.
Beèe ce a m vúè a Máèári weèe naè, a m yá yuu ce Jisoès aè m geèe, beèe magoèr efa waâp mú a byemïì neè ye.	Therefore many of the Jews, who came to Mary and saw what Jesus did, believed in him.
Beèe a m vúè aè bkúr aè bkúr a yá Joân ená e baptir woweèe. Joân aè laa neè woweèe enáê, “Boo bfïî, ñwáè ce e báá weèe ená weèe cañ soèrti efa rshentee ce Nyúè be ko'si neè beèe naè, aè báá nda?	"He said therefore to the multitudes who went out to be baptized by him, ""You offspring of vipers, who warned you to flee from the wrath to come?"
Weèr aè ka' fa' a weâe mú, bye buu ce aè yú' njep weâe mntee, yi ke' ba yáánïì ená weèr aè ba koni buu ce vi be geèe tá weèr cu rcu ryáánïì ese weèe a?	If we sowed to you spiritual things, is it a great thing if we reap your fleshly things?
“Weèe ce ká' máè enáê ‘Tataê, Tataê’, a ce geèe buu ce m ce suñ weèe ka' njoká?	"Why do you call me, 'Lord, Lord,' and don't do the things which I say?
Luke	Luêk	6	47	Ñwáè ce e ka' vú yá máè, yu' yuu ce m ce laèa, gee yi, baná m be duèñshi weèe njáèá ñwáè ce ñgaèñ yu.	Everyone who comes to me, and hears my words, and does them, I will show you who he is like.
Luke	Luêk	6	48	E yu aèmboè ñwáè ce e m ce baè'ri yïì ndap, a tuñ kuèu yi suu boèñboñ seê, a táá mbenduè ryáá, e boo kuèu ndap mbo. Rdip li ka' ruu cirshi ndap anaè, a gee yuu mo' aègho ka' njobeè' a m baè'ri ye yáánïì.	He is like a man building a house, who dug and went deep, and laid a foundation on the rock. When a flood arose, the stream broke against that house, and could not shake it, because it was founded on the rock.
Luke	Luêk	6	49	Geewa'a, ñwáè ce e ka' yu' yuu ce m ce laèa, gee yi ka', baná ñgaèñ yu aèmboè ñwáè ce e m ce baè'ri yïì ndap, a tuñ kuèu ka'. Rdip li ka' ruu cïìr ndap anaè, e ku kááñger a gweê, a koo yuu efa gho ka'.”	But he who hears, and doesn't do, is like a man who built a house on the earth without a foundation, against which the stream broke, and immediately it fell, and the ruin of that house was great."
Beèe a ka' yá ca, a wáp seê, a yoñshi Nyúè aè njáèá ñger ce e fa neè beèe naè.	But when the multitudes saw it, they marveled and glorified God, who had given such authority to men.
Cena yi ka' mïì, bcïìndap Nyúè saèamba ce a m túr msoèñ saèamba naè a tamïì nyor aè rfyáp msoèñ anaè.	The seven angels who had the seven trumpets prepared themselves to sound.
Jisoès aè m tuu beèe ncoèp-baa-aè-rrúèú ca, a laa neè woweèe enáê, “Weèe fa duè aè ñgoâñ beèe enje jáá, káè aè mla' beâe aè ñgoâñ Saèmarïìyaè ka'.	"Jesus sent these twelve out, and commanded them, saying, ""Don't go among the Gentiles, and don't enter into any city of the Samaritans."
Dïì' ce woweèe a m vúè táá aèfo anaè aè m ba dïû' boèñboñ aè rcu aè saa ka'. Beèe magoèr a fa ntañ ená a gheter yá ená a be baè' aè rla' Fenïìs cu ba aèfo lá. Fenïìs aè m ba dïì' moâ' aè to' Kreât ce bkeñ vi m ce vúè ce táá, ka' ker ce co'ti ce duè. AÈ m ba dïì' ce wáè m ka' ba táá ce keè' mbaè mbuèuntii, aè ku yá rdip aè yo bo ñkoèp ba yo bo maè'.	Because the haven was not suitable to winter in, the majority advised going to sea from there, if by any means they could reach Phoenix, and winter there, which is a port of Crete, looking northeast and southeast.
Woweèe a beesïì enáê, “AÈ rla' Bátáèláèháêm, aè ñgoâñ Juèdiyaè. Ñwáè ncep ntuu Nyúè aè m sañ enáê,	"They said to him, ""In Bethlehem of Judea, for this is written through the prophet,"
Bcɛ̀ bwaa bvi sii kaʼ.	My clothes are not dirty.
Woweèe a m yu' yuu ce e m ce laèa boèñboñ njobeè' yi fii ce e m geèe aè bfeè' aèñgoo, beèe a bááñgeèr naè.	They listened to him, because for a long time he had amazed them with his sorceries.
Jisoès aè niñ mbe keñ, a ker tuu neèñguu roè, a du a ba' fa yeâ laè'.	He entered into a boat, and crossed over, and came into his own city.
Njáèá ñgeèe ca yi fa keèe ba fa weâe mú ka'. Yi yu ba ená ñwáè efa weâe mú ce e ka' ce koèñ aè rba ñwáâ ñgoèr, baná ñgaèñ ba ñwáè rfaè' neè weèe,	It shall not be so among you, but whoever desires to become great among you shall be your servant.
Yǎanà a ncʉʼ efagho.	That is transferred aggression.
Weèe aè duè aèmbuèu Jisoès ce e m loèr yïì nyor a fa neè Nyúè, Nyúè aè ye leè' aègho a ñwáè naè wáá. Weèe aè láè mmir ba mbenduè bláá Jisoès ce a m ñwañshi, yuu ce bláá anaè vi táá aètu mo yi caèa yuu ce bláá Ábáèl vi m táá aètu mo.	to Jesus, the mediator of a new covenant, and to the blood of sprinkling that speaks better than that of Abel.
E fúr Baèrabaès embe shañ, a fa neè woweèe, a laêa, a lip Jisoès neè yáánsoè. A ka' lïìp wáá, a fa ená a taa ye mbe kïìntaa.	Then he released to them Barabbas, but Jesus he flogged and delivered to be crucified.
Wáè ka' suñ buu ca neè bfúr enjep Jisos Kraâis baná aè yu ñwáè rfaâ' mboèñmboñ neè Jisoès, a ce duèñshi ená aè ce nyañ yoè nyor neè blaèa ce vi kuèu rbyemïì, ker ba ryá'nïû rboèñboñ ce wáè ku táá njo naè.	If you instruct the brothers of these things, you will be a good servant of Christ Jesus, nourished in the words of the faith, and of the good doctrine which you have followed.
Beèe mo' a ba a Pol aèbee, a byemi. Beèe mo' efa beèe ca aè m ba Daèyonishoès ce e m ba ñwáè embe rcuteè AÈropagoès anaè, ker ba njeñwáè ce a m ce too ená Damáreès, ker ba beèe mo'.	But certain men joined with him, and believed, among whom also was Dionysius the Areopagite, and a woman named Damaris, and others with them.
Nyor ce bòni Siŋkɛ,seemòʼ tu zhi be luu ye.	Singke is getting weak, may be she will be attacked by headache.
E ka' laèa wa'a, msaèasïì mi ku lo ye efa nyoèr, e ba nrara.	When he had said this, immediately the leprosy departed from him, and he was made clean.
AÈmboè beèe magoèr a m ba ñgaâa ñgeèe buu bbebep njobeè' nteèetu ñwáè moè'sir naè, yi yu foñ ená beèe magoèr a be ba byáánïì aè bsii Nyúè njobeè' ñwáè moè'sir aè m yu'ni neè Nyúè.	For as through the one man's disobedience many were made sinners, even so through the obedience of the one, many will be made righteous.
E m laèa neè woweèe wááwá enáê, “Ñwáè aè ka' ce koèñ aè rvúè fa máâ mbuèu, baná ñgaèñ kani yïì nyor, byá' yi kïìntaa aè mnoèñ wááwá, ce vú fa máâ mbuèu,	"He said to all, ""If anyone desires to come after me, let him deny himself, take up his cross, and follow me."
Baná, tá Nyúè ce e ke fa beèe cumúnyañ njep ntee, fa weèe buu bboèñboñ tá weèe bo geèe buu ce e ce koèñ ená weèe aè ba geèe. Tá e fa' njep viseèe mntee, gee tá seèe ba njáèá beèe ce e koèñ ená seèe aè ba ba, aè ñger Jisos Kraêis. Tá beèe a ku'si Jisos Kraâis nfeseè. Yi yu wa'a.	make you complete in every good work to do his will, working in you that which is well pleasing in his sight, through Jesus Christ, to whom be the glory forever and ever. Amen.
Yi loè gee ye, e gwe aè nsheè, bdúdú' vi fúú ye aè cuèu, e ce kúr msoèñ, tee mbaè yáá. Máè laa neè ñgaâa yá'ni yoè buu máná a fúr yú' anaè, woweèe a moo laèr.”	"and wherever it seizes him, it throws him down, and he foams at the mouth, and grinds his teeth, and wastes away. I asked your disciples to cast it out, and they weren't able."""
Máè yá yuu mo' yi feeseè rdip rgoèr ce a geèe neè glaâs ce a fïìñshi mor aè múè mo. Máè yá beèe ce a m so nyaèa ba blañ nyaèa caè, ba nombaè rlii nyaèa anaè aèmboè a tááte aèwaâa rdip rgoèr a túr mluñ Nyúè mbaè mmboè.	I saw something like a sea of glass mixed with fire, and those who overcame the beast, his image, and the number of his name, standing on the sea of glass, having harps of God.
Máè m geèe wa'a njobeè' máè m koèñ máná weèe byemi ba njo' ñger Nyúè, ke' ba ba njo' bfee ñwáè ka'.	that your faith wouldn't stand in the wisdom of men, but in the power of God.
E fyá' mbekïì, a beesi enáê, “M ce yá aèmboè beèe a ce jáèshi, a ba aèmboè bce wa'a.”	"He looked up, and said, ""I see men; for I see them like trees walking."""
AÈ ka' ba aè mú ñgaèptú', e ker du mbe Ndaèp Nyúè. Beèe wááwá a du a yá ye mbo. E cu aè nsheè a ce yá'ni woweèe.	Now very early in the morning, he came again into the temple, and all the people came to him. He sat down, and taught them.
Buu bbebep vi be kuè' goèr, tá rkoèñnïì beèe magoèr li wánïî.	Because iniquity will be multiplied, the love of many will grow cold.
Wowèe a be fʉ vʉ̀ àyàŋsè.	They will come tomorrow.
Wɛ̀ koni mbàa à laʼ mɛ̀.	If youʼve got money, then pay me.
Mmbañruè a baa ca a laa neè woweèe enáê, “Beâe aè ñgoâñ Galeèleê, weèe aè táá a ce keè' ba ká mbe buèu? Jisoès ce Nyúè aè loèr ye a du aègho mbe buèu na, e be keè kúti aè njáèá njïì weèe aè yá ye e ce duè na.”	"who also said, ""You men of Galilee, why do you stand looking into the sky? This Jesus, who was received up from you into the sky will come back in the same way as you saw him going into the sky."""
Kúr beèe anaè a beesïì a laa neè ye enáê, “Hábá, ñwáè ce e ce roèo aè ryú wáè a nda? Yú' nyúèrkaè' yi yu njep wáè.”	"The multitude answered, ""You have a demon! Who seeks to kill you?"""
E ka' naèti embe dïì' ce e ba ce geèe rloo naè kúti, a yá ñgaâa yá'ni yïì buu a ce buumi. E laa neè Pitaè enáê, “Baná aède' weèe aè ke' ba cu mbekïì tá seèe ce keè'ni aèmboè awaè moè'sir ka' a?	"He came to the disciples, and found them sleeping, and said to Peter, ""What, couldn't you watch with me for one hour?"
Jisos Kraâis aè m tuu máè ená m du baptir beèe ka', e m tuu máè ba ená m du fe'shi Nsuñ Mboèñmboñ. Máè m ce feè'shi nsuñ ca ba neè bfee wa ka'. Máè m geèe wa'a tá ñger efa rkwe ce Jisos Kraâis aè m kwe mbe kïìntaa yi bo buu efa ryáátïì ka'.	For Christ sent me not to baptize, but to preach the Good News--not in wisdom of words, so that the cross of Christ wouldn't be made void.
M be maè'shi weèe neè ye tu ka'. M be duè kúti vúè yá weèe.	I will not leave you orphans. I will come to you.
Yi yu ená Jisoès ce e ke geèe beèe a ba brara aè bsii Nyúè, ker ba beèe ce e ke geèe woweèe a ba brara anaè, a ku túr taèr moè'sir. A mbuèu ce rïìtu yi ce koo Jisoès aè rtoo woweèe ená bfúr vi ka'.	For both he who sanctifies and those who are sanctified are all from one, for which cause he is not ashamed to call them brothers,
E m laèa neè woweèe enáê, “Weèe fa bepsi nshe káè mdip, káè bce ka', caar tá weèr fa mncoèo aè mnsaèpsi beèe ce a ce faè' neè yeèr Nyúè.”	"saying, ""Don't harm the earth, neither the sea, nor the trees, until we have sealed the bondservants of our God on their foreheads!"""
Jisoès aè m duè, a ka' baè' aè múè mla' ce mi m ba aègee rla' Sisaèriyaè Fileèpaêi, a bipshi neè ñgaâa yá'ni yïì buu enáê, “Beèe a ce laèa ená Muu Ñwáè yu ba nda?”	"Now when Jesus came into the parts of Caesarea Philippi, he asked his disciples, saying, ""Who do men say that I, the Son of Man, am?"""
Bcor aè ñgoâñ Áshaè wááwá vi caè'ni weèe. AÈkwilaè ba Prïûskaè ker ba beèe ce a ke niñ cor mbe waâp ndaèp a caè'ni weèe se aè rlii Tataê.	The assemblies of Asia greet you. Aquila and Priscilla greet you much in the Lord, together with the assembly that is in their house.
Máâ ke yoèñshi yaè Nyúè aè nfeè' wááwá ce m ce kwaè'shi aèmboè weèe.	I thank my God whenever I remember you,
Beèe anaè a ba rïìñ ená buu ce weèr ce sañ neè weèe aè mñwaè' njo' weèr yu aèfo ka' naè vi yu jáá efa vïì ce weèr be geèe aè nfeè' ce weèr aè vúè a yá weèe naè ka'.	Let such a person consider this, that what we are in word by letters when we are absent, such are we also in deed when we are present.
Yu ba njo' Jisos Kraâis ca ce Nyúè aè m ce weèr ená weèr ba yïì beèe. E ke geèe buu wááwá ba aèmboè e láè ená e be geèe.	in whom also we were assigned an inheritance, having been foreordained according to the purpose of him who works all things after the counsel of his will;
Dù nè àmbùu ye.	All of you should go after him.
ntee yi fa yaèñse bu' weèe, káè weèe fa yaèñse tuè'te njobeè' beèe moè' a ce laèa ená noèñ Tata anaè yi yu aètútú ka'. Seemoè' káè aè laèa ñwáè ce e ce suñ beèe buu ce Yú' Rara yi geèe e riñ áè, káè ñwáè ce e ce feè'shi ba blaâa Nyúè áè, káè beèe mo' a ce laèa ená weèr aè sañ ñwaè' áè,	not to be quickly shaken in your mind, nor yet be troubled, either by spirit, or by word, or by letter as from us, saying that the day of Christ had come.
AÈde' beèe a fa' neè ye aèmboè e buu lá buu wa' ka', njobeè' ku ba ba ye ce e ke geèe beèe a cu bteèe ce yoèñse, ker fa woweèe buu wááwá.	neither is he served by men's hands, as though he needed anything, seeing he himself gives to all life and breath, and all things.
Máè koo ñwaè' anaè emba yeâ boè, a ye. Máè ka' ye, yi lee kuè cuèu aèmboè bluè, a bep njep rbúè.	I took the little book out of the angel's hand, and ate it up. It was as sweet as honey in my mouth. When I had eaten it, my stomach was made bitter.
Pitaè aè ruu neè Yú' Rara aè nfeè' anaè, a laa neè woweèe enáê, “Ñgaâa sa' to' ker ba bleebeèe!	"Then Peter, filled with the Holy Spirit, said to them, ""You rulers of the people, and elders of Israel,"
AÈmboè woweèe a m ce duè aèmbuèu mmbaè', a ker tuu rdip rbeer ca, cena yi m ba neè woweèe aèmboè njáèá baèptir moè' ce e m geèe woweèe a ba beèe Musïìs.	and were all baptized into Moses in the cloud and in the sea;
Pol aè laa enáê, “Káè yu nfeè' yïû múcaèr áè, káè yu yïû njïìsaèp áè, m ce loo neè Nyúè máná wáè ker ba beèe wááwá ce a ce yu' yuu ce m ce laèa ntïìni na, a ba ba aèmboè má máè yu na, ke' ba ñgaâa shañ foñ aèmboè máè ka'.”	"Paul said, ""I pray to God, that whether with little or with much, not only you, but also all that hear me this day, might become such as I am, except for these bonds."""
Mú nfeè' moè' aè ka' tuuse, Jisoès aè yá ñwáè ce e m geèe ye e luñ naè mbe Ndaèp Nyúè, a laa neè ye enáê, “Yáê, wáè luèñ efa yo yañ. Fa keèr geèe buu bbebep ka', faè dïì' ñgá' moè' goèr lo koni wáè caèa cena ka'.”	"Afterward Jesus found him in the temple, and said to him, ""Behold, you are made well. Sin no more, so that nothing worse happens to you."""
Beâe bgoèrgoèr efa múè ñgaâa tañshi tañshïì, ba ñgaâa ryá'ni mncir, ba bleebeèe, a ku vúshi ye aè njáâá wa' foñ.	Likewise the chief priests also mocking, with the scribes, the Pharisees, and the elders, said,
M be yu' nyor neè njáèá ñwáè ca, ke' ba ba neè yaè nyor ka'. Yuu ce aède' m yu' nyor aègho neè yaè nyor ku ba wa bgoè'sïì caè'caè'.	On behalf of such a one I will boast, but on my own behalf I will not boast, except in my weaknesses.
Yuu yi ka' yááti aèwañ yi kútïì ba ba yuu ce aè rraa. A mbuèu ce a laèa enáê, “Wáè ce aè ce buumi, lá' efa mmirloè, fúú efa rkwe, tá rraa Kraâis li sañ mbe wáâ nduè.”	"Therefore he says, ""Awake, you who sleep, and arise from the dead, and Christ will shine on you."""
M be gheèter tatap seê, ka' m ka' kwe, tá weèe bo ku ce kuushi buu ca aè nfeè' wááwá.	Yes, I will make every effort that you may always be able to remember these things even after my departure.
Woweèe a rïìñ seè'ni ená buu wááwá ce m túr, vi loè ba ese wáè.	Now they have known that all things whatever you have given me are from you,
a ce yá boèñboñ ená weèe yu ñwaè' ce aè sañ ba Jisos Kraêis, a ka' tuu weèr aègho. Ñwaè' ca yu ñwaè' ce a sañ ba neè mdip ñwaè' ka'. A sañ ba neè Yú' Nyúâ nteèe. A sañ ba mbe luâr mbáèmbár ka', a sañ ba njep mntee beèe.	being revealed that you are a letter of Christ, served by us, written not with ink, but with the Spirit of the living God; not in tablets of stone, but in tablets that are hearts of flesh.
